# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,parameter,distortion,accuracy
Veto,20,5,0,10000,1,1.198871540769387,0.2827
Veto,20,5,0,10000,2,1.0974190748035528,0.4484
Veto,20,5,0,10000,3,1.0622687530982737,0.5199
Veto,20,5,0,10000,4,1.044899171279027,0.5562
Plurality,20,5,0,10000,1,1.1190709784867303,0.4431
Plurality,20,5,0,10000,2,1.067167856203456,0.5409
Plurality,20,5,0,10000,3,1.0411525032284588,0.6143
Plurality,20,5,0,10000,4,1.0292487425773966,0.6449
Plurality w/ runoff,20,5,0,10000,1,1.0513728401975824,0.6174
Plurality w/ runoff,20,5,0,10000,2,1.033362968347835,0.6708
Plurality w/ runoff,20,5,0,10000,3,1.0219890079109168,0.7203
Plurality w/ runoff,20,5,0,10000,4,1.0156221124244633,0.7399
PluralityVeto,20,5,0,10000,1,1.0102894868271795,0.815
PluralityVeto,20,5,0,10000,2,1.0127695812910922,0.7845
PluralityVeto,20,5,0,10000,3,1.0094121218038645,0.8077
PluralityVeto,20,5,0,10000,4,1.0083526481156346,0.805
STV,20,5,0,10000,1,1.0519895550611627,0.5709
STV,20,5,0,10000,2,1.0282910051491865,0.6822
STV,20,5,0,10000,3,1.017062861742739,0.7488
STV,20,5,0,10000,4,1.012166595942321,0.7688
Harmonic,20,5,0,10000,1,1.0525562651817457,0.5895
Harmonic,20,5,0,10000,2,1.0235626569349858,0.7205
Harmonic,20,5,0,10000,3,1.0136031854121563,0.7697
Harmonic,20,5,0,10000,4,1.0102670334340047,0.7859
Half approval,20,5,0,10000,1,1.0579028507010801,0.5101
Half approval,20,5,0,10000,2,1.0239223846611913,0.7067
Half approval,20,5,0,10000,3,1.0156639055267835,0.7527
Half approval,20,5,0,10000,4,1.0121492885747583,0.7581
Bucklin,20,5,0,10000,1,1.0362893704857958,0.6266
Bucklin,20,5,0,10000,2,1.0181360115390612,0.7449
Bucklin,20,5,0,10000,3,1.0132517616829735,0.7668
Bucklin,20,5,0,10000,4,1.0100475616837883,0.7778
Maximin,20,5,0,10000,1,1.0062478330997051,0.8717
Maximin,20,5,0,10000,2,1.0081228922411773,0.8303
Maximin,20,5,0,10000,3,1.0076285766951802,0.8255
Maximin,20,5,0,10000,4,1.0074441824430975,0.8136
Ranked Pairs,20,5,0,10000,1,1.005890829059492,0.8698
Ranked Pairs,20,5,0,10000,2,1.0080234656999807,0.8356
Ranked Pairs,20,5,0,10000,3,1.0084511000856204,0.8204
Ranked Pairs,20,5,0,10000,4,1.0072778885489544,0.81
Copeland,20,5,0,10000,1,1.0042995852703072,0.8914
Copeland,20,5,0,10000,2,1.0082987591124872,0.8336
Copeland,20,5,0,10000,3,1.0077596517352028,0.8222
Copeland,20,5,0,10000,4,1.0068582917656876,0.8269
Borda,20,5,0,10000,1,1.0254588384134957,0.7564
Borda,20,5,0,10000,2,1.010271396048053,0.8232
Borda,20,5,0,10000,3,1.0064073030988996,0.8456
Borda,20,5,0,10000,4,1.005145401124827,0.8458
Random Voter Utility,20,5,0,10000,1,1.0434963746572983,0.6106
Random Voter Utility,20,5,0,10000,2,1.0158067990681738,0.7695
Random Voter Utility,20,5,0,10000,3,1.0098311476532962,0.8059
Random Voter Utility,20,5,0,10000,4,1.0072972496747987,0.8152
