# rule,n_relevant_candidates,n_irrelevant_candidates,n_tries,distortion
harmonic,2,0,10000,3.0
harmonic,2,1,10000,2.7345893411608095
harmonic,2,2,10000,2.954619829729358
harmonic,2,3,10000,3.1140344906304382
harmonic,2,4,10000,3.241590874207667
harmonic,2,5,10000,3.3592293579067816
harmonic,2,6,10000,3.4696865372577057
harmonic,2,7,10000,3.5872876867793537
harmonic,2,8,10000,3.687960092735996
harmonic,2,9,10000,3.784689518300986
harmonic,2,10,10000,3.873614827881663
harmonic,2,11,10000,3.9821259828625015
harmonic,2,12,10000,4.057813958480173
harmonic,2,13,10000,4.156615231623969
borda,2,0,10000,3.0
borda,2,1,10000,2.2997849784654485
borda,2,2,10000,2.02697096354188
borda,2,3,10000,1.8940266286766385
borda,2,4,10000,1.7946403768478643
borda,2,5,10000,1.7161189264512886
borda,2,6,10000,1.659679837097906
borda,2,7,10000,1.6093513933961532
borda,2,8,10000,1.5718304336208548
borda,2,9,10000,1.5437849727729809
borda,2,10,10000,1.5128653220910022
borda,2,11,10000,1.488662520035567
borda,2,12,10000,1.4671610792835323
borda,2,13,10000,1.4453990802317271
oddBorda,2,0,10000,3.0
oddBorda,2,1,10000,2.2430425693378613
oddBorda,2,2,10000,2.2222547114865425
oddBorda,2,3,10000,2.0232557303100727
oddBorda,2,4,10000,1.8874218831517566
oddBorda,2,5,10000,1.7876274180733327
oddBorda,2,6,10000,1.7164702614366003
oddBorda,2,7,10000,1.659433010218507
oddBorda,2,8,10000,1.6140666475214103
oddBorda,2,9,10000,1.569223026973552
oddBorda,2,10,10000,1.5396308250006303
oddBorda,2,11,10000,1.5120521842952412
oddBorda,2,12,10000,1.4881605404842497
oddBorda,2,13,10000,1.4671216982742419
veto,2,0,10000,3.0
veto,2,1,10000,3.0
veto,2,2,10000,3.0
veto,2,3,10000,3.0
veto,2,4,10000,3.0
veto,2,5,10000,3.0
veto,2,6,10000,3.0
veto,2,7,10000,3.0
veto,2,8,10000,3.0
veto,2,9,10000,3.0
veto,2,10,10000,3.0
veto,2,11,10000,3.0
veto,2,12,10000,3.0
veto,2,13,10000,3.0
kApp,2,0,10000,3.0
kApp,2,1,10000,30.627856492517854
kApp,2,2,10000,4.8353816285396025
kApp,2,3,10000,7.822951452141802
kApp,2,4,10000,4.316102996745648
kApp,2,5,10000,5.8173307019434155
kApp,2,6,10000,4.151698920251218
kApp,2,7,10000,5.150631694930199
kApp,2,8,10000,3.9630514384873075
kApp,2,9,10000,4.718414991001254
kApp,2,10,10000,3.895028291744282
kApp,2,11,10000,4.50259075434481
kApp,2,12,10000,3.8376272195311563
kApp,2,13,10000,4.302576856805576
